decision_id	condition	stability_region	dominant_state	source	term_id	term_description	adjusted_p	enrichment_measure	historical_interpretation	current_evidence_note
PROFILE_002	UV	Highly Stable	down	GO	GO:0008061	unavailable in frozen authority	1.90464875605515e-06	13.0632275132275	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	No specific profile-level biological interpretation retained; frozen GO/KEGG term descriptions are unavailable and the historical broad catch-all profile is not supportable.
PROFILE_002	UV	Highly Stable	down	GO	GO:0004252	unavailable in frozen authority	0.01298124702443	7.67350427350427	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	No specific profile-level biological interpretation retained; frozen GO/KEGG term descriptions are unavailable and the historical broad catch-all profile is not supportable.
PROFILE_002	UV	Highly Stable	down	KEGG	K05096	unavailable in frozen authority	0.0132487805092188	65.2545454545455	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	No specific profile-level biological interpretation retained; frozen GO/KEGG term descriptions are unavailable and the historical broad catch-all profile is not supportable.
PROFILE_002	UV	Highly Stable	down	KEGG	K05098	unavailable in frozen authority	0.0132487805092188	65.2545454545455	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	No specific profile-level biological interpretation retained; frozen GO/KEGG term descriptions are unavailable and the historical broad catch-all profile is not supportable.
PROFILE_002	UV	Highly Stable	down	KEGG	K04362	unavailable in frozen authority	0.0184040229588293	46.6103896103896	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	No specific profile-level biological interpretation retained; frozen GO/KEGG term descriptions are unavailable and the historical broad catch-all profile is not supportable.
PROFILE_002	UV	Highly Stable	down	KEGG	K01324	unavailable in frozen authority	0.0213084955353013	163.136363636364	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	No specific profile-level biological interpretation retained; frozen GO/KEGG term descriptions are unavailable and the historical broad catch-all profile is not supportable.
PROFILE_002	UV	Highly Stable	down	KEGG	K04147	unavailable in frozen authority	0.0213084955353013	163.136363636364	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	No specific profile-level biological interpretation retained; frozen GO/KEGG term descriptions are unavailable and the historical broad catch-all profile is not supportable.
PROFILE_002	UV	Highly Stable	down	KEGG	K04205	unavailable in frozen authority	0.0213084955353013	163.136363636364	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	No specific profile-level biological interpretation retained; frozen GO/KEGG term descriptions are unavailable and the historical broad catch-all profile is not supportable.
PROFILE_002	UV	Highly Stable	down	KEGG	K04314	unavailable in frozen authority	0.0213084955353013	163.136363636364	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	No specific profile-level biological interpretation retained; frozen GO/KEGG term descriptions are unavailable and the historical broad catch-all profile is not supportable.
PROFILE_002	UV	Highly Stable	down	KEGG	K04349	unavailable in frozen authority	0.0213084955353013	163.136363636364	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	No specific profile-level biological interpretation retained; frozen GO/KEGG term descriptions are unavailable and the historical broad catch-all profile is not supportable.
