condition	region_A	region_B	themes_shared	themes_unique_A	themes_unique_B	GO_overlap	KEGG_overlap	profile_similarity_measure	interpretation_status	author_decision	author_notes
DES	Low Stability	Highly Stable	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cytoskeleton and cell motility; Development and morphogenesis; Energy and core metabolism; Neural, projection and behavior processes		Cell cycle and division; Chromosome and nuclear organization; DNA repair and genome maintenance; Endocrine and physiological regulation; Immune and defense processes; Membrane transport and ion homeostasis; Metabolism and redox processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization	0.00268096514745308	0	0.333333333333333	DESCRIPTIVE_COMPARISON_REQUIRES_AUTHOR_REVIEW		
GAM	Low Stability	Transitional	Cell adhesion and extracellular organization; Development and morphogenesis; Membrane transport and ion homeostasis; Protein turnover and proteostasis		Broad regulatory and signaling processes; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; DNA repair and genome maintenance; Energy and core metabolism; Metabolism and redox processes; Neural, projection and behavior processes; RNA processing and expression; Stress response and signaling; Vesicle trafficking and organelle organization	0	0	0.266666666666667	DESCRIPTIVE_COMPARISON_REQUIRES_AUTHOR_REVIEW		
GAM	Low Stability	Stable	Cell adhesion and extracellular organization; Development and morphogenesis; Membrane transport and ion homeostasis; Protein turnover and proteostasis		Broad regulatory and signaling processes; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; DNA repair and genome maintenance; Endocrine and physiological regulation; Energy and core metabolism; Immune and defense processes; Metabolism and redox processes; Neural, projection and behavior processes; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization	0	0.00775193798449612	0.222222222222222	DESCRIPTIVE_COMPARISON_REQUIRES_AUTHOR_REVIEW		
GAM	Low Stability	Highly Stable	Cell adhesion and extracellular organization; Development and morphogenesis; Membrane transport and ion homeostasis; Protein turnover and proteostasis		Broad regulatory and signaling processes; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; DNA repair and genome maintenance; Energy and core metabolism; Immune and defense processes; Metabolism and redox processes; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization	0.0256410256410256	0.00434782608695652	0.25	DESCRIPTIVE_COMPARISON_REQUIRES_AUTHOR_REVIEW		
GAM	Transitional	Stable	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Energy and core metabolism; Membrane transport and ion homeostasis; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Vesicle trafficking and organelle organization		Endocrine and physiological regulation; Immune and defense processes; Translation, ribosome and protein targeting	0.0726031647533354	0.0303030303030303	0.833333333333333	DESCRIPTIVE_COMPARISON_REQUIRES_AUTHOR_REVIEW		
GAM	Transitional	Highly Stable	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Energy and core metabolism; Membrane transport and ion homeostasis; Metabolism and redox processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Vesicle trafficking and organelle organization	Neural, projection and behavior processes	Immune and defense processes; Translation, ribosome and protein targeting	0	0	0.823529411764706	DESCRIPTIVE_COMPARISON_REQUIRES_AUTHOR_REVIEW		
GAM	Stable	Highly Stable	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Energy and core metabolism; Immune and defense processes; Membrane transport and ion homeostasis; Metabolism and redox processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization	Endocrine and physiological regulation; Neural, projection and behavior processes		0.00469483568075117	0.0130434782608696	0.888888888888889	DESCRIPTIVE_COMPARISON_REQUIRES_AUTHOR_REVIEW		
LT	Low Stability	Highly Stable	Cell adhesion and extracellular organization; Metabolism and redox processes; Protein turnover and proteostasis; Translation, ribosome and protein targeting		Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; DNA repair and genome maintenance; Endocrine and physiological regulation; Immune and defense processes; Membrane transport and ion homeostasis; Neural, projection and behavior processes; RNA processing and expression	0.0377358490566038	0	0.307692307692308	DESCRIPTIVE_COMPARISON_REQUIRES_AUTHOR_REVIEW		
UV	Transitional	Stable	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cytoskeleton and cell motility; Development and morphogenesis; Endocrine and physiological regulation; Immune and defense processes; Membrane transport and ion homeostasis; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Vesicle trafficking and organelle organization	Energy and core metabolism; Stress response and signaling; Translation, ribosome and protein targeting	Cell cycle and division; Chromosome and nuclear organization; DNA repair and genome maintenance	0.00743494423791822	0	0.666666666666667	DESCRIPTIVE_COMPARISON_REQUIRES_AUTHOR_REVIEW		
UV	Transitional	Highly Stable	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cytoskeleton and cell motility; Development and morphogenesis; Endocrine and physiological regulation; Membrane transport and ion homeostasis; Metabolism and redox processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization	Energy and core metabolism; Immune and defense processes; Neural, projection and behavior processes	Chromosome and nuclear organization	0.0050761421319797	0	0.75	DESCRIPTIVE_COMPARISON_REQUIRES_AUTHOR_REVIEW		
UV	Stable	Highly Stable	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; Endocrine and physiological regulation; Membrane transport and ion homeostasis; Metabolism and redox processes; Protein turnover and proteostasis; RNA processing and expression; Vesicle trafficking and organelle organization	Cell cycle and division; DNA repair and genome maintenance; Immune and defense processes; Neural, projection and behavior processes	Stress response and signaling; Translation, ribosome and protein targeting	0.0686274509803922	0.00462962962962963	0.647058823529412	DESCRIPTIVE_COMPARISON_REQUIRES_AUTHOR_REVIEW		
