condition	region_A	region_B	Jaccard_similarity	shared_candidate_themes	unique_themes_A	unique_themes_B	strongest_distinguishing_evidence_A	strongest_distinguishing_evidence_B	review_interpretation_status	author_decision	author_notes
DES	Low Stability	Highly Stable	0.333333333333333	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cytoskeleton and cell motility; Development and morphogenesis; Energy and core metabolism; Neural, projection and behavior processes		Cell cycle and division; Chromosome and nuclear organization; DNA repair and genome maintenance; Endocrine and physiological regulation; Immune and defense processes; Membrane transport and ion homeostasis; Metabolism and redox processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization		Translation, ribosome and protein targeting [p_adj=1.038e-53]; Vesicle trafficking and organelle organization [p_adj=3.677e-36]; Metabolism and redox processes [p_adj=6.859e-24]; RNA processing and expression [p_adj=3.088e-22]; Chromosome and nuclear organization [p_adj=1.448e-08]	DESCRIPTIVE_REGION_COMPARISON_REQUIRES_AUTHOR_REVIEW		
GAM	Low Stability	Transitional	0.266666666666667	Cell adhesion and extracellular organization; Development and morphogenesis; Membrane transport and ion homeostasis; Protein turnover and proteostasis		Broad regulatory and signaling processes; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; DNA repair and genome maintenance; Energy and core metabolism; Metabolism and redox processes; Neural, projection and behavior processes; RNA processing and expression; Stress response and signaling; Vesicle trafficking and organelle organization		Broad regulatory and signaling processes [p_adj=2.612e-08]; Metabolism and redox processes [p_adj=8.302e-06]; Vesicle trafficking and organelle organization [p_adj=1.727e-05]; RNA processing and expression [p_adj=3.488e-05]; Chromosome and nuclear organization [p_adj=7.936e-05]	DESCRIPTIVE_REGION_COMPARISON_REQUIRES_AUTHOR_REVIEW		
GAM	Low Stability	Stable	0.222222222222222	Cell adhesion and extracellular organization; Development and morphogenesis; Membrane transport and ion homeostasis; Protein turnover and proteostasis		Broad regulatory and signaling processes; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; DNA repair and genome maintenance; Endocrine and physiological regulation; Energy and core metabolism; Immune and defense processes; Metabolism and redox processes; Neural, projection and behavior processes; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization		Broad regulatory and signaling processes [p_adj=9.594e-71]; Metabolism and redox processes [p_adj=5.654e-58]; Vesicle trafficking and organelle organization [p_adj=7.444e-54]; Chromosome and nuclear organization [p_adj=1.171e-46]; RNA processing and expression [p_adj=8.623e-45]	DESCRIPTIVE_REGION_COMPARISON_REQUIRES_AUTHOR_REVIEW		
GAM	Low Stability	Highly Stable	0.25	Cell adhesion and extracellular organization; Development and morphogenesis; Membrane transport and ion homeostasis; Protein turnover and proteostasis		Broad regulatory and signaling processes; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; DNA repair and genome maintenance; Energy and core metabolism; Immune and defense processes; Metabolism and redox processes; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization		Energy and core metabolism [p_adj=9.066e-08]; Metabolism and redox processes [p_adj=9.066e-08]; DNA repair and genome maintenance [p_adj=9.137e-04]; Cytoskeleton and cell motility [p_adj=1.930e-03]; RNA processing and expression [p_adj=6.339e-03]	DESCRIPTIVE_REGION_COMPARISON_REQUIRES_AUTHOR_REVIEW		
GAM	Transitional	Stable	0.833333333333333	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Energy and core metabolism; Membrane transport and ion homeostasis; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Vesicle trafficking and organelle organization		Endocrine and physiological regulation; Immune and defense processes; Translation, ribosome and protein targeting		Translation, ribosome and protein targeting [p_adj=5.891e-43]; Immune and defense processes [p_adj=9.776e-13]; Endocrine and physiological regulation [p_adj=6.146e-08]	DESCRIPTIVE_REGION_COMPARISON_REQUIRES_AUTHOR_REVIEW		
GAM	Transitional	Highly Stable	0.823529411764706	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Energy and core metabolism; Membrane transport and ion homeostasis; Metabolism and redox processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Vesicle trafficking and organelle organization	Neural, projection and behavior processes	Immune and defense processes; Translation, ribosome and protein targeting	Neural, projection and behavior processes [p_adj=9.8e-04]	Immune and defense processes [p_adj=3.957e-02]; Translation, ribosome and protein targeting [p_adj=3.976e-02]	DESCRIPTIVE_REGION_COMPARISON_REQUIRES_AUTHOR_REVIEW		
GAM	Stable	Highly Stable	0.888888888888889	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Energy and core metabolism; Immune and defense processes; Membrane transport and ion homeostasis; Metabolism and redox processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization	Endocrine and physiological regulation; Neural, projection and behavior processes		Neural, projection and behavior processes [p_adj=2.144e-34]; Endocrine and physiological regulation [p_adj=6.146e-08]		DESCRIPTIVE_REGION_COMPARISON_REQUIRES_AUTHOR_REVIEW		
LT	Low Stability	Highly Stable	0.307692307692308	Cell adhesion and extracellular organization; Metabolism and redox processes; Protein turnover and proteostasis; Translation, ribosome and protein targeting		Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; DNA repair and genome maintenance; Endocrine and physiological regulation; Immune and defense processes; Membrane transport and ion homeostasis; Neural, projection and behavior processes; RNA processing and expression		Chromosome and nuclear organization [p_adj=1.031e-02]; DNA repair and genome maintenance [p_adj=1.031e-02]; Immune and defense processes [p_adj=1.031e-02]; Membrane transport and ion homeostasis [p_adj=1.031e-02]; RNA processing and expression [p_adj=1.031e-02]	DESCRIPTIVE_REGION_COMPARISON_REQUIRES_AUTHOR_REVIEW		
UV	Transitional	Stable	0.666666666666667	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cytoskeleton and cell motility; Development and morphogenesis; Endocrine and physiological regulation; Immune and defense processes; Membrane transport and ion homeostasis; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Vesicle trafficking and organelle organization	Energy and core metabolism; Stress response and signaling; Translation, ribosome and protein targeting	Cell cycle and division; Chromosome and nuclear organization; DNA repair and genome maintenance	Translation, ribosome and protein targeting [p_adj=1.879e-14]; Stress response and signaling [p_adj=3.042e-03]; Energy and core metabolism [p_adj=3.567e-02]	Cell cycle and division [p_adj=1.694e-03]; Chromosome and nuclear organization [p_adj=1.361e-02]; DNA repair and genome maintenance [p_adj=4.753e-02]	DESCRIPTIVE_REGION_COMPARISON_REQUIRES_AUTHOR_REVIEW		
UV	Transitional	Highly Stable	0.75	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cytoskeleton and cell motility; Development and morphogenesis; Endocrine and physiological regulation; Membrane transport and ion homeostasis; Metabolism and redox processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization	Energy and core metabolism; Immune and defense processes; Neural, projection and behavior processes	Chromosome and nuclear organization	Neural, projection and behavior processes [p_adj=1.162e-03]; Energy and core metabolism [p_adj=3.567e-02]; Immune and defense processes [p_adj=4.467e-02]	Chromosome and nuclear organization [p_adj=2.131e-02]	DESCRIPTIVE_REGION_COMPARISON_REQUIRES_AUTHOR_REVIEW		
