condition	FSF_region	candidate_themes	supported_theme_count	strongest_themes	GO_only_themes	KEGG_only_themes	cross_source_themes	unresolved_or_ambiguous_evidence
DES	Low Stability	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cytoskeleton and cell motility; Development and morphogenesis; Energy and core metabolism; Neural, projection and behavior processes	6	Development and morphogenesis; Neural, projection and behavior processes; Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Energy and core metabolism	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cytoskeleton and cell motility; Development and morphogenesis; Energy and core metabolism; Neural, projection and behavior processes			Cell adhesion and extracellular organization; Development and morphogenesis
DES	Highly Stable	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Endocrine and physiological regulation; Energy and core metabolism; Immune and defense processes; Membrane transport and ion homeostasis; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization	18	Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization; Metabolism and redox processes; RNA processing and expression; Energy and core metabolism	Cytoskeleton and cell motility; Development and morphogenesis; Neural, projection and behavior processes; RNA processing and expression		Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; DNA repair and genome maintenance; Endocrine and physiological regulation; Energy and core metabolism; Immune and defense processes; Membrane transport and ion homeostasis; Metabolism and redox processes; Protein turnover and proteostasis; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Chromosome and nuclear organization; Cytoskeleton and cell motility; DNA repair and genome maintenance; Endocrine and physiological regulation; Energy and core metabolism; Membrane transport and ion homeostasis; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Translation, ribosome and protein targeting
GAM	Low Stability	Cell adhesion and extracellular organization; Development and morphogenesis; Membrane transport and ion homeostasis; Protein turnover and proteostasis	4	Cell adhesion and extracellular organization; Protein turnover and proteostasis; Membrane transport and ion homeostasis; Development and morphogenesis		Development and morphogenesis; Membrane transport and ion homeostasis	Cell adhesion and extracellular organization; Protein turnover and proteostasis	
GAM	Transitional	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Energy and core metabolism; Membrane transport and ion homeostasis; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Vesicle trafficking and organelle organization	15	Broad regulatory and signaling processes; Metabolism and redox processes; Development and morphogenesis; Vesicle trafficking and organelle organization; RNA processing and expression	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Membrane transport and ion homeostasis; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Vesicle trafficking and organelle organization	Energy and core metabolism		Broad regulatory and signaling processes; Chromosome and nuclear organization; Development and morphogenesis; DNA repair and genome maintenance; Metabolism and redox processes; RNA processing and expression
GAM	Stable	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Endocrine and physiological regulation; Energy and core metabolism; Immune and defense processes; Membrane transport and ion homeostasis; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization	18	Broad regulatory and signaling processes; Metabolism and redox processes; Development and morphogenesis; Vesicle trafficking and organelle organization; Chromosome and nuclear organization	Cell adhesion and extracellular organization; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Vesicle trafficking and organelle organization		Broad regulatory and signaling processes; Cell cycle and division; Endocrine and physiological regulation; Energy and core metabolism; Immune and defense processes; Membrane transport and ion homeostasis; Stress response and signaling; Translation, ribosome and protein targeting	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Endocrine and physiological regulation; Energy and core metabolism; Membrane transport and ion homeostasis; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting
GAM	Highly Stable	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Energy and core metabolism; Immune and defense processes; Membrane transport and ion homeostasis; Metabolism and redox processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization	16	Energy and core metabolism; Metabolism and redox processes; DNA repair and genome maintenance; Development and morphogenesis; Cell adhesion and extracellular organization	Chromosome and nuclear organization; Cytoskeleton and cell motility; Vesicle trafficking and organelle organization	Broad regulatory and signaling processes; Cell cycle and division; Development and morphogenesis; Energy and core metabolism; Immune and defense processes; Membrane transport and ion homeostasis; Protein turnover and proteostasis; RNA processing and expression; Translation, ribosome and protein targeting	Cell adhesion and extracellular organization; DNA repair and genome maintenance; Metabolism and redox processes; Stress response and signaling	Cell adhesion and extracellular organization; DNA repair and genome maintenance; ko01130; map01130; Metabolism and redox processes
HT	Highly Stable	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Endocrine and physiological regulation; Energy and core metabolism; Immune and defense processes; Membrane transport and ion homeostasis; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization	18	Cell adhesion and extracellular organization; Metabolism and redox processes; Broad regulatory and signaling processes; RNA processing and expression; Energy and core metabolism	Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization		Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Endocrine and physiological regulation; Energy and core metabolism; Immune and defense processes; Membrane transport and ion homeostasis; Metabolism and redox processes; Stress response and signaling	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; Energy and core metabolism; ko01130; map01130; Membrane transport and ion homeostasis; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression
LT	Low Stability	Cell adhesion and extracellular organization; Metabolism and redox processes; Protein turnover and proteostasis; Translation, ribosome and protein targeting	4	Cell adhesion and extracellular organization; Translation, ribosome and protein targeting; Metabolism and redox processes; Protein turnover and proteostasis	Cell adhesion and extracellular organization; Metabolism and redox processes; Protein turnover and proteostasis; Translation, ribosome and protein targeting			Cell adhesion and extracellular organization
LT	Highly Stable	Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; DNA repair and genome maintenance; Endocrine and physiological regulation; Immune and defense processes; Membrane transport and ion homeostasis; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Translation, ribosome and protein targeting	13	Chromosome and nuclear organization; DNA repair and genome maintenance; Immune and defense processes; Membrane transport and ion homeostasis; Protein turnover and proteostasis	Cell cycle and division; Cytoskeleton and cell motility; Neural, projection and behavior processes	DNA repair and genome maintenance; Immune and defense processes; Membrane transport and ion homeostasis; Protein turnover and proteostasis; RNA processing and expression	Cell adhesion and extracellular organization; Chromosome and nuclear organization; Endocrine and physiological regulation; Metabolism and redox processes; Translation, ribosome and protein targeting	K17860; Metabolism and redox processes; Neural, projection and behavior processes
OSM	Highly Stable	Broad regulatory and signaling processes; Cell adhesion and extracellular organization; Cell cycle and division; Chromosome and nuclear organization; Cytoskeleton and cell motility; Development and morphogenesis; DNA repair and genome maintenance; Immune and defense processes; Membrane transport and ion homeostasis; Metabolism and redox processes; Neural, projection and behavior processes; Protein turnover and proteostasis; RNA processing and expression; Stress response and signaling; Translation, ribosome and protein targeting; Vesicle trafficking and organelle organization	16	Development and morphogenesis; Metabolism and redox processes; Broad regulatory and signaling processes; Vesicle trafficking and organelle organization; Cell cycle and division	Cell cycle and division; DNA repair and genome maintenance	Cell adhesion and extracellular organization; Chromosome and nuclear organization; Immune and defense processes; Membrane transport and ion homeostasis; Neural, projection and behavior processes; Protein turnover and proteostasis; Translation, ribosome and protein targeting	Broad regulatory and signaling processes; Cytoskeleton and cell motility; Development and morphogenesis; Metabolism and redox processes; RNA processing and expression; Stress response and signaling; Vesicle trafficking and organelle organization	K09050; K17858; Metabolism and redox processes; RNA processing and expression
