candidate_theme	historical_or_new	conditions_supported	regions_supported	GO_support_total	KEGG_support_total	cross_source_support_count	region_specificity_summary	historical_status	evidence_strength_summary	ambiguity_summary	recommended_action_options	author_decision	author_notes
Translation, ribosome and protein targeting	HISTORICAL	DES; GAM; HT; LT; OSM; UV	Highly Stable; Low Stability; Stable; Transitional	101	23	4	3 region-unique units; 9 supported units	SUPPORTED_CURRENTLY	minimum adjusted p=1.038e-53	2 units require review	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER		
DNA repair and genome maintenance	HISTORICAL	DES; GAM; HT; LT; OSM; UV	Highly Stable; Stable; Transitional	72	6	2	5 region-unique units; 8 supported units	SUPPORTED_CURRENTLY	minimum adjusted p=8.885e-22	4 units require review	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER		
Chromosome and nuclear organization	HISTORICAL	DES; GAM; HT; LT; OSM; UV	Highly Stable; Stable; Transitional	259	8	2	4 region-unique units; 9 supported units	PARTIALLY_SUPPORTED	minimum adjusted p=1.171e-46	5 units require review	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER		
Cell cycle and division	HISTORICAL	DES; GAM; HT; LT; OSM; UV	Highly Stable; Stable; Transitional	240	20	4	5 region-unique units; 8 supported units	SUPPORTED_CURRENTLY	minimum adjusted p=2.538e-42	1 units require review	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER		
Metabolism and redox processes	HISTORICAL	DES; GAM; HT; LT; OSM; UV	Highly Stable; Low Stability; Stable; Transitional	802	105	8	3 region-unique units; 11 supported units	SUPPORTED_CURRENTLY	minimum adjusted p=5.654e-58	9 units require review	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER		
Energy and core metabolism	HISTORICAL	DES; GAM; HT; UV	Highly Stable; Low Stability; Stable; Transitional	76	16	3	2 region-unique units; 7 supported units	SUPPORTED_CURRENTLY	minimum adjusted p=4.476e-12	3 units require review	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER		
Protein turnover and proteostasis	HISTORICAL	DES; GAM; HT; LT; OSM; UV	Highly Stable; Low Stability; Stable; Transitional	124	30	4	3 region-unique units; 12 supported units		minimum adjusted p=1.568e-08	3 units require review	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER		
Cell adhesion and extracellular organization	HISTORICAL	DES; GAM; HT; LT; OSM; UV	Highly Stable; Low Stability; Stable; Transitional	72	22	5	2 region-unique units; 13 supported units	PARTIALLY_SUPPORTED	minimum adjusted p=1.929e-32	7 units require review	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER		
Development and morphogenesis	HISTORICAL	DES; GAM; HT; OSM; UV	Highly Stable; Low Stability; Stable; Transitional	737	22	3	2 region-unique units; 11 supported units	PARTIALLY_SUPPORTED	minimum adjusted p=3.035e-57	5 units require review	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER		
Neural, projection and behavior processes	HISTORICAL	DES; GAM; HT; LT; OSM; UV	Highly Stable; Low Stability; Stable; Transitional	267	5	1	3 region-unique units; 9 supported units		minimum adjusted p=2.144e-34	5 units require review	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER		
Stress response and signaling	HISTORICAL	DES; GAM; HT; OSM; UV	Highly Stable; Stable; Transitional	201	55	5	3 region-unique units; 8 supported units		minimum adjusted p=6.958e-40	1 units require review	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER		
Endocrine and physiological regulation	HISTORICAL	DES; GAM; HT; LT; UV	Highly Stable; Stable; Transitional	89	25	4	4 region-unique units; 7 supported units	SUPPORTED_CURRENTLY	minimum adjusted p=6.146e-08	2 units require review	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER		
Broad regulatory and signaling processes	HISTORICAL	DES; GAM; HT; OSM; UV	Highly Stable; Low Stability; Stable; Transitional	1678	61	5	2 region-unique units; 10 supported units	SUPPORTED_CURRENTLY	minimum adjusted p=9.594e-71	6 units require review	RETAIN;RETAIN_WITH_REVISED_WORDING;MERGE_WITH_OTHER_THEME;DROP;REVIEW_FURTHER		
