decision_id	condition	region_or_class	review_type	historical_label_or_profile	current_evidence_status	GO_matching_term_count	KEGG_matching_term_count	GO_evidence_change	KEGG_evidence_change	architecture_context	historical_interpretation	recommended_action_options	author_decision	author_notes
PROFILE_001	UV	Highly Stable Constant	COMBINED_PROFILE	Weak / nonspecific enrichment	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	34	0	RETAINED_TERM_COUNT	ABSENT_UNCHANGED	UV/Highly Stable/constant	GO theme: Broad regulatory / cellular process; KEGG theme: No significant KEGG enrichment	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	PARTIALLY_RETAIN	Retain only evidence-supported biological components; broad regulatory wording must be narrowed under the current UV classification.
PROFILE_002	UV	Highly Stable Down	COMBINED_PROFILE	Broad cellular regulation	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	2	74	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	UV/Highly Stable/down	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	REVIEW_FURTHER	Current evidence requires inspection of actual significant terms before assigning a specific biological interpretation.
PROFILE_003	UV	Highly Stable Up	COMBINED_PROFILE	Weak / nonspecific enrichment	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	0	63	ABSENT_UNCHANGED	RETAINED_TERM_COUNT	UV/Highly Stable/up	GO theme: No significant GO enrichment; KEGG theme: Other KEGG / manual review	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	REVIEW_FURTHER	Substantial current KEGG evidence exists but lacks an approved specific theme; do not retain historical nonspecific wording automatically.
PROFILE_004	UV	Low Stability	COMBINED_PROFILE	No clear enrichment	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	UV/Low Stability/constant	GO theme: No significant GO enrichment; KEGG theme: No significant KEGG enrichment	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	No significant current enrichment detected; retain only this descriptive absence statement and use current Low Stability terminology.
PROFILE_005	UV	Low Stability	COMBINED_PROFILE	No clear enrichment	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	UV/Low Stability/down	GO theme: No significant GO enrichment; KEGG theme: No significant KEGG enrichment	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	No significant current enrichment detected; retain only this descriptive absence statement and use current Low Stability terminology.
PROFILE_006	UV	Low Stability	COMBINED_PROFILE	No clear enrichment	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	UV/Low Stability/tied	GO theme: No significant GO enrichment; KEGG theme: No significant KEGG enrichment	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	No significant current enrichment detected; retain only this descriptive absence statement and use current Low Stability terminology.
PROFILE_007	UV	Low Stability	COMBINED_PROFILE	No clear enrichment	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	UV/Low Stability/up	GO theme: No significant GO enrichment; KEGG theme: No significant KEGG enrichment	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	No significant current enrichment detected; retain only this descriptive absence statement and use current Low Stability terminology.
PROFILE_008	UV	Stable Constant	COMBINED_PROFILE	Broad cellular regulation	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	180	2	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	UV/Stable/constant	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	REVIEW_FURTHER	Strong current GO evidence exists, but the historical broad catch-all profile must not be retained without term-level review.
PROFILE_009	UV	Stable Down	COMBINED_PROFILE	Broad cellular regulation	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	2	78	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	UV/Stable/down	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	REVIEW_FURTHER	Strong current KEGG evidence exists; historical Other-KEGG/manual-review wording is not suitable as a final biological interpretation.
PROFILE_010	UV	Stable Up	COMBINED_PROFILE	No clear enrichment	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	UV/Stable/up	GO theme: No significant GO enrichment; KEGG theme: No significant KEGG enrichment	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	No significant current enrichment detected; retain only the descriptive absence statement.
